フィラリア	⇒糸状虫 (しじょうちゅう) 
フィリピン鷲	ワシタカ目ワシタカ科の鳥。フィリピンの森林にすみ、主としてサルやヒヨケザルなどを捕食する。森林伐採などが原因で、その数は著しく減少している。フィリピンイーグル。
フィンチ	ヒワ類などの小鳥。また、外国産のベニスズメ・キンカチョウなどの小鳥。
斑入海豹	アザラシ科の一種。体長約1.4メートル。体は灰褐色で、銭形の粗い斑紋をもつ。北極海に多い。幼獣は真っ白い毛で覆われている。貝を主食とする。輪紋 (わもん) あざらし。
楓蚕	テグスサンの別名。
風船水母	テマリクラゲ科の有櫛 (ゆうしつ) 動物。体長約4センチ。体は紡錘形で、表面には8本の櫛板の列があって、体の両側から羽毛状の長い触手を出す。日本近海に多い。
風船虫	ミズムシ類、また、その一種コミズムシの別名。《季 夏》
風鳥	スズメ目フウチョウ科の鳥の総称。雄の羽が美しいことで知られ、雌は一般に褐色。小果実を主食とするが、昆虫やトカゲなども食べる雑食性の鳥。約40種がニューギニアなどの森林に分布。オオフウチョウは全長約45センチで、わきに長さ50センチもある黄色の飾り羽の房をもつ。極楽鳥 (ごくらくちょう) 。
フェアリーペンギン	⇒小人ペンギン
フェネック	イヌ科の哺乳類。体長35～40センチ、体重約1.5キロで、イヌ科では最も小さい。毛は淡黄褐色で、耳が大きくとがる。アフリカ北部の砂漠にすむ。フェネックぎつね。
フェレット	ヨーロッパケナガイタチの飼養品種。家畜化の歴史は古く、ウサギ狩りなどに使われ、最近では実験動物に用いられる。フィッチ。
笛鯛	スズキ目フエダイ科の海水魚。沿岸の岩礁にすむ。全長約40センチ。体はタイに似て、目は大きく、吻 (ふん) がやや突出する。体色は橙赤色で各ひれは黄褐色。本州中部以南に分布。食用。
笛吹き	１ 笛を吹く人。笛を吹くのを業とする人。また、笛の名手。２ ヤガラの別名。
笛吹鯛	スズキ目フエフキダイ科の海水魚。全長約60センチ。体はタイに似て、吻 (ふん) がやや突出し、体色は赤みを帯びた紫褐色。口の内側が鮮紅色なので、口火 (くちび) ともよばれる。本州中部以南に分布。食用。
